Token,Lecturer,Title,ZoomRecording,LogoPosition,Part 1 Start,Part 1 End,PreRecordedFileName,Part 3 Start,Part 3 End,Comment,
latex-pgf-workshop-p1,Emilio Kavamura,Graphics with PGF 1,GMT20210805-145556_Recording_1920x1074.mp4,SE,,,Emilio-Kavamura-I.mp4,,,,
latex-pgf-workshop-p2,Emilio Kavamura,Graphics with PGF 2,GMT20210805-145556_Recording_1920x1074.mp4,SE,,,Emilio-Kavamura-II.mp4,,,,
latex-intros-spanish-p1,Alexander Borbon,Intro to LaTeX 1,GMT20210805-145556_Recording_1920x1074.mp4,SE,,,Alexander-Borbon_Inicio_con_LaTeX-I.mkv,,,,
latex-intros-spanish-p2,Alexander Borbon,Intro to LaTeX 2,GMT20210805-145556_Recording_1920x1074.mp4,SE,,,Alexander-Borbon_Texto_matematico-II.mkv,,,,
latex-intros-spanish-p3,Alexander Borbon,Intro to LaTeX 3,GMT20210805-145556_Recording_1920x1074.mp4,SE,,,Alexander-Borbon_Tablas_en_LaTeX-III.mkv,,,,
latex-intros-spanish-p4,Alexander Borbon,Intro to LaTeX 4,GMT20210805-145556_Recording_1920x1074.mp4,SE,,,Alexander-Borbon_Imagenes_en_LaTeX-IV.mkv,,,,
porter-data,Simon Porter,Data-driven documents,GMT20210806-153552_Recording_3840x2160.mp4,SE,00:24:20,01:00:40,Simon Porter,,,,
rit-tour,Amelia Hugill-Fontanel,Cary Graphics Arts,GMT20210806-153552_Recording_3840x2160.mp4,SE,---,---,,,,"not to be processed, already on https://www.youtube.com/watch?v=VtmZpnIc8aE",
ney-kdp,Paulo Ney de Souza,Amazon KDP,GMT20210806-153552_Recording_3840x2160.mp4,SE,02:13:43,03:12:00  ,,,,,
crossland-variable-fonts,David Crossland,Variable fonts,GMT20210806-202031_Recording_2788x1568.mp4,SE,00:12:05,00:58:33,,,,,
rocha-logo,Matheus Rocha,How to make a logo,GMT20210806-202031_Recording_2788x1568.mp4,SE,00:58:40,01:14:05,,,,,
austin-plane,Oliver Austin,Plane and Simple,GMT20210806-202031_Recording_2788x1568.mp4,SE,01:39:37,02:02:15,,,,,
khaligi-persian,Vafa Khaligi,Persian Typesetting,GMT20210806-202031_Recording_2788x1568.mp4,SE,03:09:37,03:37:46 ,,,,,
preining-interview,Norbert Preining,Interview,GMT20210806-202031_Recording_2788x1568.mp4,SE,3:54:44,4:30:08.280,,,,,
stmdocs,Aravind Rajendran,How a LaTeX company,GMT20210807-060326_Recording_2560x1440.mp4,SE,00:11:20 ,01:01:55,,,,,
ruckert-cweb,Martin Ruckert,WEB to cweb,GMT20210807-060326_Recording_2560x1440.mp4,SE,01:02:00,01:27:28,Martin-Ruckert.mp4,,,01:02:48,01:23.29
novotny-markdown,Vit Novotny,Markdown,GMT20210807-060326_Recording_2560x1440.mp4,SE,01:41:00,02:09:26,,,,,
goswami-org-mode,Rohit Goswami,CI TeX ORG,GMT20210807-060326_Recording_2560x1440.mp4,SE,02:25:53,03:04:30,Rohit-Goswami.mp4,,,,
papasalouros-latex2nemeth,Andreas Papasalouros,latex2nemeth,GMT20210807-060326_Recording_2560x1440.mp4,SE,03:56:15,04:42:14,,,,,
fischer-tagged-pdf,Ulrike Fischer,tagged pdf,GMT20210807-060326_Recording_2560x1440.mp4,SE,04:42:25,05:12:20,Ulrike-Fischer.mp4,,,,
mittelbach-paragraph-tagging,Frank Mittelback,paragraph tagging,GMT20210807-060326_Recording_2560x1440.mp4,SE,05:24:35,06:11:14,Frank-Mittelbach.mp4,,,,
fine-in-the-dark,Jonathan Fine,Code and math in the dark,GMT20210807-060326_Recording_2560x1440.mp4,SE,06:11:14,06:49:30,Jonathan-Fine-Math-in-the-Dark.mp4,,,,
cereda-island,Paulo Cereda,2020 island,GMT20210807-140050_Recording_3840x2160.mp4,SE,00:00:00,00:23:10,Paulo-Cereda.mp4,,,,
wright-l3color,Joseph Wright,colour,GMT20210807-140050_Recording_3840x2160.mp4,SE,00:43:20,01:10:10,Joseph-Wright.mp4,,,,
samcarter-tikzlings,samcarter,Tikz zoo,GMT20210807-140050_Recording_3840x2160.mp4,SE,01:28:40,01:49:38,samcarter.mp4,,,,
krueger,Marcel Krüger,Type3 lualatex,GMT20210807-140050_Recording_3840x2160.mp4,SE,01:58:38,02:28:05,,,,,
mittelbach-interview,Frank Mittelback,Interview,GMT20210807-140050_Recording_3840x2160.mp4,SE,02:44:10.280,03:34:37.360,,,,,
agm,AGM,,GMT20210807-140050_Recording_3840x2160.mp4,SE,---,---,,,,,
harcombe-and-veytsman-vpat,Harcombe/Veytsman,TeX Live VPAT,GMT20210807-140050_Recording_3840x2160.mp4,SE,05:33:27,06:03:12,,,,,
kolesnikov-tactile,Klesnikov et al,Tactile Math,GMT20210807-140050_Recording_3840x2160.mp4,SE,06:14:01,06:59:14,Tactile_Math_Combined.mp4,,,,
nolan-open-access,Michael Nolan et al,Publishing for all,GMT20210807-140050_Recording_3840x2160.mp4,SE,06:59:50,-> ...,,,,split across two ZOOM recording!!!!,
,Michael Nolan et al,Publishing for all,GMT20210807-212550_Recording_2560x1440.mp4,SE,... ->,00:15:18,,,,split across two ZOOM recording!!!!,
moore-r,Ross Moore,Accessible,GMT20210807-212550_Recording_2560x1440.mp4,SE,01:33:00,02:24:55,,,,,
claudio,Jennifer Claudio,Word Search Puzzles,GMT20210807-212550_Recording_2560x1440.mp4,SE,02:24:58,02:46:00,,,,,
bossard,Antoine Bossard,English-Japanese,GMT20210807-212550_Recording_2560x1440.mp4,SE,03:03:49,03:43:00,,,,,
khaligi-bidi,Vafa Khaligi,Bidirectional,GMT20210807-212550_Recording_2560x1440.mp4,SE,03:48:00,04:27:16,,,,,
magdowski-circuitikz,Magdowski,Personalized Tasks,GMT20210808-063557_Recording_3840x2160.mp4,SE,00:25:34,01:09:30,Mathias-Magdowski.mp4,,,,
van-dijk-r,Vic van Dijk,R,GMT20210808-063557_Recording_3840x2160.mp4,SE,01:10:36,01:51:54,,,,,
fine-towards,Jonathan Fine,Towards 21st rubbish,GMT20210808-063557_Recording_3840x2160.mp4,SE,01:53:45,02:39:00,Jonathan-Fine-Digital-Typography.mp4,,,,
sojka-czech-hyphenation,Ondrey Sojka,CZ/SK hyphen,GMT20210808-063557_Recording_3840x2160.mp4,SE,02:39:35,03:19:15,,,,,
hufflen-programming-bibliographies,Jean-Michel Hufflen,Biblio,GMT20210808-063557_Recording_3840x2160.mp4,SE,04:26:05,05:08:10,,,,,
talbot-bib2gls,Nicola Talbot,bib2gls,GMT20210808-063557_Recording_3840x2160.mp4,SE,05:08:45,05:50:02,Nicola-Talbot.mp4,,,,
stamerjohanns-texmlbus,Heinrich Stamerjohanns,Texmlbus,GMT20210808-063557_Recording_3840x2160.mp4,SE,05:55:34,06:39:50,,,,,
hoftich-tex4ht,Michal Hoftich,tex4ht,GMT20210808-063557_Recording_3840x2160.mp4,SE,06:40:25,-> ...,,,,,
,,,GMT20210808-140120_Recording_1920x1080.mp4,,... ->,00:06:27,,,,QA session split over two recordings!,
paterson-xlingpaper,Andy Black,XLingPaper,GMT20210808-140120_Recording_1920x1080.mp4,SE,00:59:35,01:41:09,Hugh-Paterson.mp4,,,,
vaughan-tei-xml,Nicolas Vaughan,TEI-XML,GMT20210808-140120_Recording_1920x1080.mp4,SE,01:43:52,02:33:00,,,,,
overleaf-interview,John Hammersley,Interview,GMT20210808-140120_Recording_1920x1080.mp4,SE,03:13:44.000,04:20:10.000,,,,,
