Token,Lecturer,Title,ZoomRecording,LogoPosition,Part 1 Start,Part 1 End,PreRecordedFileName,Part 3 Start,Part 3 End,Comment,Timing by,Double checked by,Checker comments
ramm-guides,Henning Hraban Ramm,Architectural guides for Bonn — book production with ConTeXt,TUG_2023_Day_2_pt_1.mp4,,2:14,30:37:00,,,,,Ross Moore,,
schmitz-XML,Thomas Schmitz,Producing different forms of output from XML via ConTeXt,TUG_2023_Day_2_pt_1.mp4,,31:12:00,59:44:00,,,,consider removing 31:33 - 31:53,Ross Moore,,
novotny-markdown,Vít Novotný,Markdown 3,TUG_2023_Day_2_pt_1.mp4,,1:00:29,1:33:40,,,,consider removing   01:00:43 - 01:21:17,Ross Moore,,
rishi-primo,"Rishi T, Apu V, Hàn Thế Thành, Jan Vaněk",Primo — The new sustainable solution for publishing ,TUG_2023_Day_2_pt_1.mp4,,1:34:52,2:01:02,,,,,Ross Moore,,
moore-accessibility,Ross Moore,"Tagged PDF, derived HTML and aspects of accessibility",TUG_2023_Day_2_pt_1.mp4,,2:30:38,3:01:53,moore-pdf-html-talk.mp4,,,consider removing  03:01:22 - 03:01:31,Ross Moore,,
fischer-tagpdf,Ulrike Fischer,Automated tagging of LaTeX documents — what is possible today?,TUG_2023_Day_2_pt_1.mp4,,3:01:48,3:32:47,,,,"perhaps start at  03:01:54
consider removing   03:02:31 - 03:02:41",Ross Moore,,
wright-expl3,Joseph Wright,Supporting backends in expl3,TUG_2023_Day_2_pt_1.mp4,,3:32:49,3:59:00,,,,,Ross Moore,,
frank-lessons,Frank Mittelbach,"The LaTeX Companion, third edition — Anecdotes and lessons learned",TUG_2023_Day_2_pt_1.mp4,,3:59:01,4:39:34,,,,,Ross Moore,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
hefferon-asymptote,Jim Hefferon,Using Asymptote like MetaPost,TUG_2023_Day_2_pt_2.mp4,,5:30,29:51:00,hefferon-asymptote-talk.mp4,,,maybe start at 6:05,Ross Moore,,
romer-curvature,Linus Romer,Curvature combs and harmonized paths in MetaPost,TUG_2023_Day_2_pt_2.mp4,,29:52:00,58:15:00,,,,consider removing 30:11 - 30:31,Ross Moore,,
rajeesh-typeface,Rajeesh KV,"Metafont, MetaPost and a complex-script typeface",TUG_2023_Day_2_pt_2.mp4,,58:58:00,1:27:15,,,,,Ross Moore,,
sannier-rustic,Victor Sannier,A Metafont for rustic capitals,TUG_2023_Day_2_pt_2.mp4,,1:27:22,1:52:40,,,,"consider removing 01:28:30 - 01:29:03
needs audio gain, especially early",Ross Moore,,
vieth-opentype,Ulrik Vieth,An updated survey of OpenType math fonts,TUG_2023_Day_2_pt_2.mp4,,2:31:58,3:21:09,,,,,Ross Moore,,
sundqvist-mathchoices,Mikael Sundqvist,"Extending OpenType math, making choices",TUG_2023_Day_2_pt_2.mp4,,3:21:40,3:49:15,,,,,Ross Moore,,
hejda-overleaf,Tom Hejda,TeX Live and Overleaf revisited,TUG_2023_Day_2_pt_2.mp4,,3:49:32,4:19:38,,,,,Ross Moore,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
island-containers,Island of TeX,Living in containers — on TeX Live in a docker setting,TUG_2023_Day_3.mp4,,0:05,29:28:00,,,,,Ross Moore,,
wright-Unicode,Joseph Wright,Further adventures in Unicode-land,TUG_2023_Day_3.mp4,,29:51:00,57:06:00,,,,lack of audio early; fixed ~30:22,Ross Moore,,
kopp-template,Oliver Kopp,The LaTeX template generator,TUG_2023_Day_3.mp4,,57:40:00,1:23:42,,,,,Ross Moore,,
island-smooth,Island of TeX,The Island of TeX 2023 — sailing the smooth seas of ideas,TUG_2023_Day_3.mp4,,1:25:07,1:57:26,,,,,Ross Moore,,
frank-pictures,Frank Mittelbach,38 years of LaTeX — A personal picture story,TUG_2023_Day_3.mp4,,2:30:34,3:37:25,,,,,Ross Moore,,
boris-closing,Boris Veytsman,Conference closing,TUG_2023_Day_3.mp4,,3:37:26,3:46:46,,,,,Ross Moore,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
boris-opening,Boris Veytsman,Conference opening,TUG_2023_Day_1_pt_1.mp4,,4:08,8:08,,,,,Ross Moore,,
tikzlings-scenes,"Ulrike & Gert Fischer, Carla Maggi, 
Paulo Cereda, samcarter","Behind the scenes of the Great TikZlings 
Christmas Extravaganza",TUG_2023_Day_1_pt_1.mp4,,9:04,36:51:00,,,,,Ross Moore,,
kopp-jabref,Oliver Kopp,JabRef as BibTeX-based literature management software,TUG_2023_Day_1_pt_1.mp4,,37:38:00,1:10:38,,,,,Ross Moore,,
sustek-codeblocks,Jan Šustek,On generating documented source code by blocks in TeX,TUG_2023_Day_1_pt_1.mp4,,1:10:57,1:46:41,,,,consider removing 1:11:07 - 1:11:40,Ross Moore,,
beeton-newbie,Barbara Beeton,What every LaTeX newbie should know,TUG_2023_Day_1_pt_1.mp4,,1:47:20,2:20:23,,,,,Ross Moore,,
ruckert-hint,Martin Ruckert,News from the HINT project,TUG_2023_Day_1_pt_1.mp4,,2:48:54,3:16:45,,,,,Ross Moore,,
muller-primitives,Dennis Müller,An HTML/CSS schema for TeX primitives,TUG_2023_Day_1_pt_1.mp4,,3:17:52,3:47:59,,,,,Ross Moore,,
gundlach-boxesglue,Patrick Gundlach,News from boxes and glue,TUG_2023_Day_1_pt_1.mp4,,3:48:42,4:12:47,,,,,Ross Moore,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
wright-beamer,"Joseph Wright, samcarter",Beamer news,TUG_2023_Day_1_pt_2.mp4,,2:05,15:51,,,,maybe combine this with the next talk,Ross Moore,,
samcarter-tcolorbox,samcarter,The tcolorbox inner beamer theme,TUG_2023_Day_1_pt_2.mp4,,17:03,24:52:00,,,,,Ross Moore,,
boris-nostarch,Boris Veytsman,The update of the nostarch class,TUG_2023_Day_1_pt_2.mp4,,25:35:00,54:56:00,,,,,Ross Moore,,
davies-bumpy,Ben Davies,Bumpy road towards a good LaTeX visual editor,TUG_2023_Day_1_pt_2.mp4,,55:20:00,1:20:29,,,,,Ross Moore,,
verna-interactive,Didier Verna,Interactive and real-time typesetting for demonstration and experimentation,TUG_2023_Day_1_pt_2.mp4,,1:20:47,2:04:53,,,,consider removing 01:21:36 - 01:22:00,Ross Moore,,
lisse-typst,Eberhard W. Lisse,Introduction to Typst,TUG_2023_Day_1_pt_2.mp4,,2:34:16,3:07:20,,,,"consider removing  02:34:23 - 02:34:28 
and 02:35:02 - 02:35:25",Ross Moore,,
sojka-syllabic,"Jakub Máca, Petr Sojka, Ondřej Sojka",Universal syllabic pattern generation,TUG_2023_Day_1_pt_2.mp4,,3:07:23,3:43:51,,,,,Ross Moore,,
