# token <TAB> abstract-name (on tug.org/tug2025/abstracts/<name>.txt) ; "-" = no abstract
veytsman-opening	-
schrauwen-keynote	schrauwen-content
braun-ctan	braun-ctan
govinda-xelatex-ashram	govinda-ashram
hufflen-teaching	hufflen-teach
mittelbach-accessible-pdf	mittelbach-how-accessible
fischer-tagging25	fischer-taggingmath25
moore-tagging-biblatex	moore-tagging-biblatex
radhakrishnan-malayalam-archiving	radhakrishnan-malayalam-archiving
behrendt-busse-cryptool	behrendt-cryptool
rajeesh-syntax-font	rajeesh-colorfont-syntax
novotny-expltools	starynovotny-expltools
saravanan-latex2word	saravanan-wordconv
salil-niranjan-tables	salil-tables
venkatesan-scripts	venkatesan-writing
vaishnavi-tulu-tigalari	murthy-tulu-tigalari
niranjan-linguistix	niranjan-linguistix
gray-beastie	gray-beastie
osborne-text2bib	osborne-text2bib
rishikesan-xml-tagged	rishi-xmlfirst
nijenhuis-xdp	nijenhuis-doceng
behrendt-latex-village	behrendt-ccc
balasubramanian-publishing	veeraraghavan-challenges
veytsman-editorial-comments	veytsman-comments
rahul-neptune-tagged	rahul-tagged-neptune
jakobsen-tex-parsing	jakobsen-parsing-editing
bhattathiri-calligraphy	bhattathiri-calligraphy
